structure,counts_observed,background_counts,number_of_genes_in_set,total_number_proteins_proteome,pvalue,fdr,bonforroni_cutoff,log_fold_change,name
a.11.2.0,1,50,162,20230,0.334541054498495,0.39984907622496,0.000373134328358209,0.397510863892155,./generated_files/OUT/OUT
c.37.1.0,4,365,162,20230,0.337186161294183,0.39984907622496,0.000373134328358209,0.136247995099661,./generated_files/OUT/OUT
c.10.1.0,1,50,162,20230,0.334541054498495,0.39984907622496,0.000373134328358209,0.397510863892155,./generated_files/OUT/OUT
d.42.1.0,2,156,162,20230,0.35793284395206,0.420728079733123,0.000373134328358209,0.204386265537693,./generated_files/OUT/OUT
a.26.1.2,2,159,162,20230,0.366508810742027,0.427062440342884,0.000373134328358209,0.196113739571703,./generated_files/OUT/OUT
a.116.1.0,1,58,162,20230,0.375783576344134,0.434094820949258,0.000373134328358209,0.333052874665236,./generated_files/OUT/OUT
a.298.1.1,2,167,162,20230,0.389156313224139,0.445700392923373,0.000373134328358209,0.174794392744572,./generated_files/OUT/OUT
c.10.2.0,1,62,162,20230,0.395441910613971,0.44906115273112,0.000373134328358209,0.30408917872992,./generated_files/OUT/OUT
g.44.1.1,2,176,162,20230,0.414201634840814,0.466411924946799,0.000373134328358209,0.151998196078005,./generated_files/OUT/OUT
b.7.1.1,1,68,162,20230,0.423781554294377,0.473222735628721,0.000373134328358209,0.263971955521937,./generated_files/OUT/OUT
b.47.1.2,1,70,162,20230,0.432931543790302,0.479444850147938,0.000373134328358209,0.251382828213917,./generated_files/OUT/OUT
d.3.1.9,1,75,162,20230,0.455179654613615,0.499951423919872,0.000373134328358209,0.221419604836474,./generated_files/OUT/OUT
b.7.1.0,1,78,162,20230,0.468109844964988,0.509973327035028,0.000373134328358209,0.204386265537693,./generated_files/OUT/OUT
b.55.1.1,2,198,162,20230,0.473156894398879,0.511314708463305,0.000373134328358209,0.100845673630624,./generated_files/OUT/OUT
a.39.1.5,1,97,162,20230,0.543205677147283,0.582316485901887,0.000373134328358209,0.109709133961929,./generated_files/OUT/OUT
d.15.1.0,1,103,162,20230,0.564654852193722,0.600505953920308,0.000373134328358209,0.0836436435230015,./generated_files/OUT/OUT
b.1.1.4,1,105,162,20230,0.571579740107959,0.60308413523202,0.000373134328358209,0.0752915691582357,./generated_files/OUT/OUT
b.29.1.0,1,142,162,20230,0.681641154968383,0.713593084107526,0.000373134328358209,-0.0558074761548827,./generated_files/OUT/OUT
b.1.1.3,1,155,162,20230,0.713217324333235,0.740861406671733,0.000373134328358209,-0.0938508299421178,./generated_files/OUT/OUT
g.37.1.0,1,171,162,20230,0.74783773122893,0.770848122959051,0.000373134328358209,-0.13651524216398,./generated_files/OUT/OUT
a.4.1.0,1,175,162,20230,0.75582288102817,0.773131801967746,0.000373134328358209,-0.146557180458121,./generated_files/OUT/OUT
f.13.1.3,3,811,162,20230,0.959333491438054,0.973868847368934,0.000373134328358209,-0.33541873126332,./generated_files/OUT/OUT
No-Fold,44,6844,162,20230,0.97111765600043,0.977125261379979,0.000373134328358209,-0.0953764561547016,./generated_files/OUT/OUT
g.37.1.1,2,700,162,20230,0.977125261379979,0.977125261379979,0.000373134328358209,-0.447587176122102,./generated_files/OUT/OUT
