structure,counts_observed,background_counts,number_of_genes_in_set,total_number_proteins_proteome,pvalue,fdr,bonforroni_cutoff,log_fold_change,name
IPR001303,1,4,162,20230,0.0390991095697105,0.089844762415505,0.000231481481481481,1.49442087690021,./generated_files/OUT/OUT
IPR017941,1,4,162,20230,0.0390991095697105,0.089844762415505,0.000231481481481481,1.49442087690021,./generated_files/OUT/OUT
IPR013558,1,4,162,20230,0.0390991095697105,0.089844762415505,0.000231481481481481,1.49442087690021,./generated_files/OUT/OUT
IPR020811,1,4,162,20230,0.0390991095697105,0.089844762415505,0.000231481481481481,1.49442087690021,./generated_files/OUT/OUT
IPR006171,1,4,162,20230,0.0390991095697105,0.089844762415505,0.000231481481481481,1.49442087690021,./generated_files/OUT/OUT
IPR001305,1,4,162,20230,0.0390991095697105,0.089844762415505,0.000231481481481481,1.49442087690021,./generated_files/OUT/OUT
IPR000083,1,4,162,20230,0.0390991095697105,0.089844762415505,0.000231481481481481,1.49442087690021,./generated_files/OUT/OUT
IPR021901,1,4,162,20230,0.0390991095697105,0.089844762415505,0.000231481481481481,1.49442087690021,./generated_files/OUT/OUT
IPR001664,2,39,162,20230,0.042022818734208,0.0955466194377782,0.000231481481481481,0.806446256865656,./generated_files/OUT/OUT
IPR002554,1,5,162,20230,0.0467346589026043,0.0980066633297333,0.000231481481481481,1.39751086389215,./generated_files/OUT/OUT
IPR004099,1,5,162,20230,0.0467346589026043,0.0980066633297333,0.000231481481481481,1.39751086389215,./generated_files/OUT/OUT
IPR003508,1,5,162,20230,0.0467346589026043,0.0980066633297333,0.000231481481481481,1.39751086389215,./generated_files/OUT/OUT
IPR007603,1,5,162,20230,0.0467346589026043,0.0980066633297333,0.000231481481481481,1.39751086389215,./generated_files/OUT/OUT
IPR005026,1,5,162,20230,0.0467346589026043,0.0980066633297333,0.000231481481481481,1.39751086389215,./generated_files/OUT/OUT
IPR015927,1,5,162,20230,0.0467346589026043,0.0980066633297333,0.000231481481481481,1.39751086389215,./generated_files/OUT/OUT
IPR027246,1,5,162,20230,0.0467346589026043,0.0980066633297333,0.000231481481481481,1.39751086389215,./generated_files/OUT/OUT
IPR001322,1,5,162,20230,0.0467346589026043,0.0980066633297333,0.000231481481481481,1.39751086389215,./generated_files/OUT/OUT
IPR010622,1,6,162,20230,0.0543099058984732,0.104740532804198,0.000231481481481481,1.31832961784453,./generated_files/OUT/OUT
IPR000375,1,6,162,20230,0.0543099058984732,0.104740532804198,0.000231481481481481,1.31832961784453,./generated_files/OUT/OUT
IPR003891,1,6,162,20230,0.0543099058984732,0.104740532804198,0.000231481481481481,1.31832961784453,./generated_files/OUT/OUT
IPR013579,1,6,162,20230,0.0543099058984732,0.104740532804198,0.000231481481481481,1.31832961784453,./generated_files/OUT/OUT
IPR013584,1,6,162,20230,0.0543099058984732,0.104740532804198,0.000231481481481481,1.31832961784453,./generated_files/OUT/OUT
IPR014837,1,6,162,20230,0.0543099058984732,0.104740532804198,0.000231481481481481,1.31832961784453,./generated_files/OUT/OUT
IPR011645,1,6,162,20230,0.0543099058984732,0.104740532804198,0.000231481481481481,1.31832961784453,./generated_files/OUT/OUT
IPR032778,1,6,162,20230,0.0543099058984732,0.104740532804198,0.000231481481481481,1.31832961784453,./generated_files/OUT/OUT
IPR006694,1,6,162,20230,0.0543099058984732,0.104740532804198,0.000231481481481481,1.31832961784453,./generated_files/OUT/OUT
IPR006211,1,7,162,20230,0.0618253238648426,0.115619596545735,0.000231481481481481,1.25138282821392,./generated_files/OUT/OUT
IPR003350,1,7,162,20230,0.0618253238648426,0.115619596545735,0.000231481481481481,1.25138282821392,./generated_files/OUT/OUT
IPR003439,2,49,162,20230,0.0620920055523391,0.115619596545735,0.000231481481481481,0.707314783863641,./generated_files/OUT/OUT
IPR000494,1,7,162,20230,0.0618253238648426,0.115619596545735,0.000231481481481481,1.25138282821392,./generated_files/OUT/OUT
IPR001623,2,50,162,20230,0.06424845296792,0.11861252855616,0.000231481481481481,0.698540859556136,./generated_files/OUT/OUT
IPR020850,1,8,162,20230,0.0692813824173302,0.122662119689699,0.000231481481481481,1.19339088123623,./generated_files/OUT/OUT
IPR001132,1,8,162,20230,0.0692813824173302,0.122662119689699,0.000231481481481481,1.19339088123623,./generated_files/OUT/OUT
IPR022409,1,8,162,20230,0.0692813824173302,0.122662119689699,0.000231481481481481,1.19339088123623,./generated_files/OUT/OUT
IPR000407,1,8,162,20230,0.0692813824173302,0.122662119689699,0.000231481481481481,1.19339088123623,./generated_files/OUT/OUT
IPR018143,1,8,162,20230,0.0692813824173302,0.122662119689699,0.000231481481481481,1.19339088123623,./generated_files/OUT/OUT
IPR004827,2,54,162,20230,0.0731188766304774,0.127368365743412,0.000231481481481481,0.665117104069186,./generated_files/OUT/OUT
IPR000372,2,54,162,20230,0.0731188766304774,0.127368365743412,0.000231481481481481,0.665117104069186,./generated_files/OUT/OUT
IPR009071,2,55,162,20230,0.0753950539771593,0.130282653272531,0.000231481481481481,0.657148174397911,./generated_files/OUT/OUT
IPR002939,1,9,162,20230,0.0766785475082581,0.1304139075731,0.000231481481481481,1.14223835878885,./generated_files/OUT/OUT
IPR001346,1,9,162,20230,0.0766785475082581,0.1304139075731,0.000231481481481481,1.14223835878885,./generated_files/OUT/OUT
IPR011021,1,10,162,20230,0.0840172814550576,0.137482824199185,0.000231481481481481,1.09648086822817,./generated_files/OUT/OUT
